Image;Average;Deviation STD;
Adirondack-perfect_FP.csv;0,549702;0,243040;
Backpack-perfect_FP.csv;0,215423;0,188333;
Bicycle1-perfect_FP.csv;0,472805;0,258100;
Cable-perfect_FP.csv;0,384515;0,220045;
Classroom1-perfect_FP.csv;0,511261;0,190468;
Couch-perfect_FP.csv;0,490281;0,193928;
Flowers-perfect_FP.csv;0,505346;0,287448;
Jadeplant-perfect_FP.csv;0,296833;0,211571;
Mask-perfect_FP.csv;0,094168;0,139970;
Motorcycle-perfect_FP.csv;0,253916;0,232512;
Piano-perfect_FP.csv;0,345281;0,194093;
Pipes-perfect_FP.csv;0,303276;0,184767;
Playroom-perfect_FP.csv;0,347094;0,199848;
Playtable-perfect_FP.csv;0,383296;0,208548;
Recycle-perfect_FP.csv;0,271418;0,164599;
Shelves-perfect_FP.csv;0,183015;0,130630;
Shopvac-perfect_FP.csv;0,569380;0,229761;
Sticks-perfect_FP.csv;0,436126;0,180631;
Storage-perfect_FP.csv;0,187653;0,110371;
Sword1-perfect_FP.csv;0,305811;0,184768;
Sword2-perfect_FP.csv;0,256248;0,200615;
Umbrella-perfect_FP.csv;0,310719;0,173903;
Vintage-perfect_FP.csv;0,259648;0,111734;
